Country/Region,Region,Year,Population Total,GDP,CO2 Emissions,Energy Usage,Life Expectancy,Infant Mortality Rate
Benin,Africa,01/12/2011,9779795,7294900431,,3761,59,0.06
Liberia,Africa,01/12/2011,4079697,1537753885,,,60,0.058
Sierra Leone,Africa,01/12/2011,5865491,2932273988,,,45,0.112
Guinea-Bissau,Africa,01/12/2011,1624228,967762549,,,53.5,0.082
Cameroon,Africa,01/12/2011,21156272,25486923059,,6720,54,0.064
Guinea,Africa,01/12/2011,11161530,5067360041,,,55.5,0.069
Congo (Brazzaville),Africa,01/12/2011,4225359,14425606793,,1659,57.5,0.039
Eritrea,Africa,01/12/2011,5932852,2607739837,,765,61.5,0.038
Senegal,Africa,01/12/2011,13330737,14440676498,,3515,63.5,0.046
Mozambique,Africa,01/12/2011,24581367,12547888400,,10202,49.5,0.068
Malawi,Africa,01/12/2011,15457531,5627898037,,,54,0.049
Tanzania,Africa,01/12/2011,46354607,23874165047,,20747,60,0.039
Nigeria,Africa,01/12/2011,164192925,412000000000,,118325,51.5,0.079
Burkina Faso,Africa,01/12/2011,15995313,10395757480,,,55.5,0.068
Zambia,Africa,01/12/2011,13633796,19201691493,,8462,55.5,0.059
"Gambia, The",Africa,01/12/2011,1734966,898282866,,,58.5,0.051
Congo (Kinshasa),Africa,01/12/2011,63931512,23831631365,,24497,49.5,0.09
Uganda,Africa,01/12/2011,35148064,15493320082,,,58,0.049
Burundi,Africa,01/12/2011,9540362,2355652064,,,53,0.059
Somalia,Africa,01/12/2011,9907903,,,,54.5,0.095
Angola,Africa,01/12/2011,20180490,104000000000,,13576,51.5,0.107
Chad,Africa,01/12/2011,12080037,12156380062,,,50,0.092
Mali,Africa,01/12/2011,14416737,10647545670,,,54,0.081
Niger,Africa,01/12/2011,16511462,6411842066,,,57.5,0.064
Mauritius,Africa,01/12/2012,1291167,11442063228,,,73.5,0.013
Seychelles,Africa,01/12/2012,88303,1032199341,,,73,0.012
Tunisia,Africa,01/12/2012,10777500,45238491581,,,75,0.014
South Africa,Africa,01/12/2012,52274945,382000000000,,,56,0.034
Libya,Africa,01/12/2012,6154623,81873662519,,,75,0.013
Morocco,Africa,01/12/2012,32521143,95981572517,,,70.5,0.027
Botswana,Africa,01/12/2012,2003910,14537490553,,,47,0.037
Egypt,Africa,01/12/2012,80721874,263000000000,,,71,0.019
Algeria,Africa,01/12/2012,38481705,204000000000,,,71,0.022
Namibia,Africa,01/12/2012,2259393,13399386550,,,64,0.036
Lesotho,Africa,01/12/2012,2051545,2328196275,,,49,0.074
Djibouti,Africa,01/12/2012,859652,1353632942,,,61.5,0.059
Swaziland,Africa,01/12/2012,1230985,4049589166,,,48.5,0.057
Ghana,Africa,01/12/2012,25366462,41740897827,,,61,0.053
Zimbabwe,Africa,01/12/2012,13724317,12472416688,,,58,0.055
Gabon,Africa,01/12/2012,1632572,17843815459,,,63,0.04
Central African Republic,Africa,01/12/2012,4525209,2169706411,,,49.5,0.098
Mauritania,Africa,01/12/2012,3796141,3958701369,,,61.5,0.068
Sudan,Africa,01/12/2012,37195349,63029562337,,,62,0.053
Ethiopia,Africa,01/12/2012,91728849,42805215879,,,63,0.046
Madagascar,Africa,01/12/2012,22293914,9880703883,,,64.5,0.041
Sao Tome and Principe,Africa,01/12/2012,188098,263328450,,,66,0.038
Equatorial Guinea,Africa,01/12/2012,736296,16486743747,,,52.5,0.071
Liberia,Africa,01/12/2012,4190435,1733828405,,,60,0.056
Comoros,Africa,01/12/2012,717503,595898770,,,60.5,0.059
Kenya,Africa,01/12/2012,43178141,40264403585,,,61,0.049
Rwanda,Africa,01/12/2012,11457801,7133378888,,,63.5,0.039
Sierra Leone,Africa,01/12/2012,5978727,3787392596,,,45.5,0.11
Cote d'Ivoire,Africa,01/12/2012,19839750,24680372724,,,50.5,0.073
South Sudan,Africa,01/12/2012,10837527,10560000000,,,55,0.066
Guinea,Africa,01/12/2012,11451273,5651088170,,,56,0.067
Togo,Africa,01/12/2012,6642928,3915754216,,,56,0.057
Benin,Africa,01/12/2012,10050702,7543183759,,,59.5,0.058
Eritrea,Africa,01/12/2012,6130922,3091967480,,,62.5,0.037
Guinea-Bissau,Africa,01/12/2012,1663558,822320638,,,54.5,0.08
Cameroon,Africa,01/12/2012,21699631,26472637887,,,55,0.062
Congo (Brazzaville),Africa,01/12/2012,4337051,13677929162,,,58.5,0.037
Senegal,Africa,01/12/2012,13726021,14045680427,,,63.5,0.045
Mozambique,Africa,01/12/2012,25203395,14376457305,,,50,0.064
Malawi,Africa,01/12/2012,15906483,4240492849,,,55,0.046
Tanzania,Africa,01/12/2012,47783107,28248631876,,,61,0.038
Burkina Faso,Africa,01/12/2012,16460141,10726305450,,,55.5,0.066
Nigeria,Africa,01/12/2012,168833776,463000000000,,,52,0.077
Congo (Kinshasa),Africa,01/12/2012,65705093,27452795398,,,49.5,0.088
Zambia,Africa,01/12/2012,14075099,20596424325,,,57,0.057
"Gambia, The",Africa,01/12/2012,1791225,914109100,,,58.5,0.05
Somalia,Africa,01/12/2012,10195134,,,,54.5,0.092
Uganda,Africa,01/12/2012,36345860,20032237910,,,59,0.045
Angola,Africa,01/12/2012,20820525,115000000000,,,51.5,0.104
Burundi,Africa,01/12/2012,9849569,2472384813,,,54,0.057
Chad,Africa,01/12/2012,12448175,12887072082,,,51,0.09
Mali,Africa,01/12/2012,14853572,10340794110,,,54.5,0.079
Niger,Africa,01/12/2012,17157042,6773185511,,,58,0.062
Macao SAR,Asia,01/12/2005,468149,11792570016,1837,,78.5,
Hong Kong SAR,Asia,01/12/2005,6813200,182000000000,40546,12664,82,
Japan,Asia,01/12/2005,127773000,4570000000000,1238181,520541,82,0.003
South Korea,Asia,01/12/2005,48138077,898000000000,462918,210176,78.5,0.005
Singapore,Asia,01/12/2005,4265800,127000000000,30359,21947,80.5,0.002
China,Asia,01/12/2005,1303720000,2260000000000,5790017,1775677,74,0.02
Thailand,Asia,01/12/2005,65559487,176000000000,256169,99166,72.5,0.015
Georgia,Asia,01/12/2005,4361400,6411147323,5068,2841,73,0.022
Armenia,Asia,01/12/2005,3014917,4900436759,4360,2512,73.5,0.021
North Korea,Asia,01/12/2005,23813333,,83014,21331,68.5,0.026
Azerbaijan,Asia,01/12/2005,8391850,13245421881,34338,13427,69,0.044
Vietnam,Asia,01/12/2005,82393500,57633255739,97942,41455,75,0.024
Kazakhstan,Asia,01/12/2005,15147029,57123671734,176947,50805,66,0.029
Myanmar,Asia,01/12/2005,50181020,,11613,14817,63.5,0.051
Sri Lanka,Asia,01/12/2005,19644000,24405791045,11643,9001,73.5,0.012
Malaysia,Asia,01/12/2005,25843466,144000000000,177373,63507,74,0.007
Mongolia,Asia,01/12/2005,2526502,2523359941,8647,2625,65.5,0.037
Uzbekistan,Asia,01/12/2005,26167000,14307509839,111888,46965,67.5,0.047
Brunei,Asia,01/12/2005,367815,9531402830,5126,2217,77,0.007
Kyrgyzstan,Asia,01/12/2005,5162600,2459876152,5233,2497,68,0.034
Indonesia,Asia,01/12/2005,224480901,286000000000,341992,179461,69,0.033
Maldives,Asia,01/12/2005,297576,992473987,700,225,74,0.019
Turkmenistan,Asia,01/12/2005,4747839,8104355717,45375,19166,64.5,0.058
India,Asia,01/12/2005,1127143548,834000000000,1411128,539388,64.5,0.056
Bhutan,Asia,01/12/2005,650417,818869146,396,204,64,0.045
Bangladesh,Asia,01/12/2005,143135180,60277560976,37554,23868,67.5,0.051
Cambodia,Asia,01/12/2005,13356424,6293046162,2776,3436,67.5,0.052
Philippines,Asia,01/12/2005,85821214,103000000000,74832,38756,67.5,0.028
Laos,Asia,01/12/2005,5790646,2735550177,1434,,64.5,0.07
Pakistan,Asia,01/12/2005,157971415,110000000000,136636,76227,65,0.08
Nepal,Asia,01/12/2005,25292058,8130258976,3242,9132,65,0.047
Tajikistan,Asia,01/12/2005,6805655,2312319579,2439,2342,65.5,0.054
Timor-Leste,Asia,01/12/2005,982889,479100000,176,58,63.5,0.065
Afghanistan,Asia,01/12/2005,24860855,6275076016,1016,,57,0.084
Macao SAR,Asia,01/12/2006,479808,14568709574,1632,,79,
South Korea,Asia,01/12/2006,48371946,1010000000000,470806,213600,79,0.005
Japan,Asia,01/12/2006,127756000,4360000000000,1231302,519807,82.5,0.003
Singapore,Asia,01/12/2006,4401400,148000000000,30799,23509,80.5,0.002
Hong Kong SAR,Asia,01/12/2006,6857100,194000000000,38555,13330,82.5,
Thailand,Asia,01/12/2006,65883961,207000000000,261211,101043,72.5,0.015
China,Asia,01/12/2006,1311020000,2710000000000,6414463,1938944,74.5,0.019
Georgia,Asia,01/12/2006,4398000,7761900179,6150,3032,73.5,0.02
Armenia,Asia,01/12/2006,3002911,6384457744,4382,2559,73.5,0.02
North Korea,Asia,01/12/2006,23969917,,84557,21544,68.5,0.026
Vietnam,Asia,01/12/2006,83313000,66371664817,102456,42475,75,0.023
Azerbaijan,Asia,01/12/2006,8484550,20982270733,39167,13232,69.5,0.042
Malaysia,Asia,01/12/2006,26327098,163000000000,170648,63715,74,0.007
Myanmar,Asia,01/12/2006,50500070,,12611,15015,64,0.049
Sri Lanka,Asia,01/12/2006,19858000,28267410543,11738,9083,73.5,0.011
Brunei,Asia,01/12/2006,374697,11470703002,4822,3152,77,0.007
Kazakhstan,Asia,01/12/2006,15308084,81003864916,192532,61504,66.5,0.027
Mongolia,Asia,01/12/2006,2559496,3414053251,9498,2925,66,0.035
Uzbekistan,Asia,01/12/2006,26488250,17030896203,116530,48872,67.5,0.045
Indonesia,Asia,01/12/2006,227709821,365000000000,345120,183726,69,0.032
Maldives,Asia,01/12/2006,302825,1303375806,887,288,75,0.017
Turkmenistan,Asia,01/12/2006,4801595,10277598152,46256,19628,65,0.057
Bhutan,Asia,01/12/2006,665568,897672086,392,211,65,0.043
India,Asia,01/12/2006,1143289350,949000000000,1504365,567182,64.5,0.054
Kyrgyzstan,Asia,01/12/2006,5218400,2834168889,5145,2450,68,0.033
Bangladesh,Asia,01/12/2006,144868702,61901116736,48137,25332,67.5,0.048
Cambodia,Asia,01/12/2006,13555054,7274424519,3000,3429,68,0.048
Nepal,Asia,01/12/2006,25634043,9043715356,2662,9131,65,0.044
Philippines,Asia,01/12/2006,87366573,122000000000,67693,38456,67.5,0.027
Pakistan,Asia,01/12/2006,160905794,137000000000,146075,79345,65.5,0.079
Laos,Asia,01/12/2006,5895930,3452895836,1580,,65,0.068
Tajikistan,Asia,01/12/2006,6954522,2830236054,2655,2414,66.5,0.052
Timor-Leste,Asia,01/12/2006,999053,462600000,180,59,63.5,0.062
Afghanistan,Asia,01/12/2006,25631282,7057597615,1338,,57.5,0.082
Macao SAR,Asia,01/12/2007,493206,18054684854,1404,,79.5,
Japan,Asia,01/12/2007,127770750,4360000000000,1251136,515198,82.5,0.003
South Korea,Asia,01/12/2007,48597652,1120000000000,495837,222147,79.5,0.004
Singapore,Asia,01/12/2007,4588600,180000000000,17866,21819,80.5,0.002
Hong Kong SAR,Asia,01/12/2007,6916300,212000000000,39963,14338,82,
Thailand,Asia,01/12/2007,66076927,247000000000,262205,104886,73,0.014
China,Asia,01/12/2007,1317885000,3490000000000,6791805,2044606,74.5,0.017
Georgia,Asia,01/12/2007,4388400,10172260738,6190,3341,73.5,0.019
Armenia,Asia,01/12/2007,2989882,9206301700,5068,2853,73.5,0.019
North Korea,Asia,01/12/2007,24111989,,70370,18300,68.5,0.026
Vietnam,Asia,01/12/2007,84221100,77414425532,113651,45777,75,0.022
Azerbaijan,Asia,01/12/2007,8581300,33050343783,41426,12113,70,0.039
Malaysia,Asia,01/12/2007,26813819,194000000000,205308,69970,74,0.007
Brunei,Asia,01/12/2007,381440,12247694247,10176,3227,77.5,0.008
Myanmar,Asia,01/12/2007,50828959,,12636,15595,64,0.048
Sri Lanka,Asia,01/12/2007,20039000,32351184234,12457,9261,73.5,0.011
Kazakhstan,Asia,01/12/2007,15484192,105000000000,220313,66231,67,0.025
Indonesia,Asia,01/12/2007,230972808,432000000000,375545,182885,69,0.031
Turkmenistan,Asia,01/12/2007,4858236,12664165103,53516,22367,65,0.055
Mongolia,Asia,01/12/2007,2595068,4234894168,10092,3114,66,0.033
India,Asia,01/12/2007,1159095250,1240000000000,1611404,604659,64.5,0.052
Bhutan,Asia,01/12/2007,679365,1196091806,392,244,65.5,0.041
Bangladesh,Asia,01/12/2007,146457067,68415421373,48467,26626,68.5,0.046
Maldives,Asia,01/12/2007,308239,1541978559,917,299,75.5,0.015
Uzbekistan,Asia,01/12/2007,26868000,22311393928,116944,48718,67.5,0.044
Kyrgyzstan,Asia,01/12/2007,5268400,3802566171,5871,2726,68,0.032
Philippines,Asia,01/12/2007,88875548,149000000000,69669,38514,67.5,0.027
Nepal,Asia,01/12/2007,25950022,10325618017,2699,9308,66,0.042
Cambodia,Asia,01/12/2007,13747288,8639164917,3484,3482,69,0.045
Pakistan,Asia,01/12/2007,163928329,152000000000,158895,83538,65.5,0.078
Laos,Asia,01/12/2007,6013278,4222945530,1668,,65.5,0.065
Tajikistan,Asia,01/12/2007,7111025,3719497371,3223,2583,66.5,0.05
Timor-Leste,Asia,01/12/2007,1015482,558700000,183,61,64.5,0.059
Afghanistan,Asia,01/12/2007,26349243,9843851009,1991,,58,0.08
Macao SAR,Asia,01/12/2008,507528,20731022857,1192,,79.5,
South Korea,Asia,01/12/2008,48948698,1000000000000,508052,226946,80,0.004
Japan,Asia,01/12/2008,127704040,4850000000000,1206916,495352,82.5,0.003
Singapore,Asia,01/12/2008,4839400,192000000000,19637,25162,80.5,0.002
Hong Kong SAR,Asia,01/12/2008,6957800,219000000000,38573,14139,82.5,
Thailand,Asia,01/12/2008,66185340,273000000000,261838,107656,73.5,0.013
China,Asia,01/12/2008,1324655000,4520000000000,7035444,2120814,74.5,0.016
Georgia,Asia,01/12/2008,4383800,12799337250,6238,3005,73.5,0.017
Armenia,Asia,01/12/2008,2977488,11662040714,5556,3004,74,0.018
North Korea,Asia,01/12/2008,24243894,,78081,20164,68.5,0.026
Azerbaijan,Asia,01/12/2008,8763400,48852482960,45702,13322,70,0.037
Vietnam,Asia,01/12/2008,85122300,99130304099,127164,48984,75,0.022
Myanmar,Asia,01/12/2008,51174018,,9028,15033,64,0.046
Malaysia,Asia,01/12/2008,27302348,231000000000,213221,73006,74.5,0.007
Brunei,Asia,01/12/2008,388017,14393099069,10583,3542,78,0.008
Sri Lanka,Asia,01/12/2008,20217000,40715240469,11892,8942,74,0.01
Bhutan,Asia,01/12/2008,692159,1258193519,422,,66,0.038
Indonesia,Asia,01/12/2008,234243489,510000000000,412387,186605,70,0.03
Turkmenistan,Asia,01/12/2008,4917543,19271523179,55093,22669,65,0.054
Mongolia,Asia,01/12/2008,2632834,5623236708,10029,3156,66,0.032
India,Asia,01/12/2008,1174662334,1220000000000,1811289,632956,65,0.05
Bangladesh,Asia,01/12/2008,147969967,79554350678,46435,27873,68.5,0.043
Maldives,Asia,01/12/2008,313843,1891633531,1008,,76,0.014
Kazakhstan,Asia,01/12/2008,15674000,133000000000,230438,69983,67,0.023
Uzbekistan,Asia,01/12/2008,27302800,27934030937,120039,50512,67.5,0.043
Kyrgyzstan,Asia,01/12/2008,5318700,5139957785,5680,2846,69,0.03
Nepal,Asia,01/12/2008,26249412,12545438605,3047,9634,66,0.04
Philippines,Asia,01/12/2008,90371287,174000000000,75944,40009,68,0.026
Cambodia,Asia,01/12/2008,13940518,10351829066,3975,3514,69.5,0.042
Pakistan,Asia,01/12/2008,167008083,170000000000,156676,82046,66,0.076
Laos,Asia,01/12/2008,6139127,5443930125,1742,,66,0.063
Tajikistan,Asia,01/12/2008,7275252,5161336170,3033,2473,66.5,0.048
Timor-Leste,Asia,01/12/2008,1032182,693800000,191,,64.5,0.056
Afghanistan,Asia,01/12/2008,27032197,10190534636,3927,,58.5,0.079
Macao SAR,Asia,01/12/2009,521617,21313263933,1302,,79.5,
South Korea,Asia,01/12/2009,49182038,902000000000,509376,229178,80.5,0.004
Japan,Asia,01/12/2009,127557958,5040000000000,1100650,472174,83,0.002
Singapore,Asia,01/12/2009,4987600,192000000000,24767,28262,81.5,0.002
Thailand,Asia,01/12/2009,66277335,264000000000,276587,107300,73.5,0.013
China,Asia,01/12/2009,1331260000,4990000000000,7692211,2286137,74.5,0.015
Hong Kong SAR,Asia,01/12/2009,6972800,214000000000,36996,14933,83,
North Korea,Asia,01/12/2009,24371865,,74686,19358,68.5,0.025
Georgia,Asia,01/12/2009,4410900,10766836277,6058,3096,73.5,0.016
Armenia,Asia,01/12/2009,2968154,8647936748,4353,2610,74.5,0.017
Azerbaijan,Asia,01/12/2009,8947243,44291490421,42629,11937,70,0.035
Vietnam,Asia,01/12/2009,86025000,106000000000,140057,53450,75.5,0.021
Brunei,Asia,01/12/2009,394400,10732366286,9094,3043,78,0.008
Myanmar,Asia,01/12/2009,51540490,,10392,14246,64,0.045
Malaysia,Asia,01/12/2009,27790324,202000000000,203882,69858,74.5,0.007
Sri Lanka,Asia,01/12/2009,20450000,42067974595,12831,9082,74,0.01
Indonesia,Asia,01/12/2009,237486894,540000000000,453106,199782,70,0.029
Bhutan,Asia,01/12/2009,704542,1264758198,389,,66.5,0.036
Bangladesh,Asia,01/12/2009,149503100,89356650349,52328,29131,69,0.041
Turkmenistan,Asia,01/12/2009,4978962,20214385965,48525,19873,65,0.052
India,Asia,01/12/2009,1190138069,1370000000000,1982263,698360,65.5,0.048
Kazakhstan,Asia,01/12/2009,16092701,115000000000,214087,63417,69,0.021
Maldives,Asia,01/12/2009,319660,1984639641,1067,,76,0.012
Mongolia,Asia,01/12/2009,2672223,4583834427,11052,3252,67,0.03
Uzbekistan,Asia,01/12/2009,27767400,32816828373,116607,44831,68,0.041
Nepal,Asia,01/12/2009,26544943,12899651884,3506,9986,67,0.038
Philippines,Asia,01/12/2009,91886400,168000000000,74785,38102,68.5,0.026
Kyrgyzstan,Asia,01/12/2009,5383300,4690062255,6480,2484,69,0.029
Cambodia,Asia,01/12/2009,14144225,10401935532,4052,4907,70.5,0.039
Pakistan,Asia,01/12/2009,170093999,168000000000,157890,83197,66,0.075
Laos,Asia,01/12/2009,6267968,5832882922,1811,,66.5,0.061
Tajikistan,Asia,01/12/2009,7447396,4979481980,2893,2333,67,0.046
Timor-Leste,Asia,01/12/2009,1049156,826700000,183,,65.5,0.054
Afghanistan,Asia,01/12/2009,27708187,12486950469,6524,,59,0.077
Macao SAR,Asia,01/12/2010,534626,28359706123,1030,,79.5,
South Korea,Asia,01/12/2010,49410366,1090000000000,567567,249964,80.5,0.004
Singapore,Asia,01/12/2010,5076700,236000000000,13520,34280,81.5,0.002
Japan,Asia,01/12/2010,127450459,5500000000000,1170715,499092,83,0.002
Thailand,Asia,01/12/2010,66402316,319000000000,295282,117429,74,0.013
China,Asia,01/12/2010,1337705000,5930000000000,8286892,2516731,75,0.014
Hong Kong SAR,Asia,01/12/2010,7024200,229000000000,36289,13838,83,
North Korea,Asia,01/12/2010,24500520,,71624,18794,69,0.025
Georgia,Asia,01/12/2010,4452800,11638536862,6241,3122,73.5,0.015
Armenia,Asia,01/12/2010,2963496,9260287416,4221,2483,74.5,0.016
Vietnam,Asia,01/12/2010,86932500,116000000000,150230,58912,75.5,0.021
Brunei,Asia,01/12/2010,400569,12369708859,9160,3240,78,0.008
Myanmar,Asia,01/12/2010,51931231,,8995,13997,65,0.044
Azerbaijan,Asia,01/12/2010,9054332,52902703376,45731,11586,70.5,0.034
Sri Lanka,Asia,01/12/2010,20653000,49567521670,12710,9844,74,0.009
Malaysia,Asia,01/12/2010,28275835,248000000000,216804,72645,74.5,0.007
Indonesia,Asia,01/12/2010,240676485,709000000000,433989,211296,70,0.027
India,Asia,01/12/2010,1205624648,1710000000000,2008823,723743,65.5,0.046
Bhutan,Asia,01/12/2010,716939,1585396256,477,,67,0.034
Bangladesh,Asia,01/12/2010,151125475,100000000000,56153,30756,69.5,0.039
Turkmenistan,Asia,01/12/2010,5041995,22148070175,53054,22675,65,0.051
Maldives,Asia,01/12/2010,325694,2134104884,1074,,77,0.011
Mongolia,Asia,01/12/2010,2712738,6200357070,11511,3454,67,0.029
Kazakhstan,Asia,01/12/2010,16321581,148000000000,248729,74443,68.5,0.019
Uzbekistan,Asia,01/12/2010,28562400,39332770929,104443,43747,68,0.04
Nepal,Asia,01/12/2010,26846016,15994094607,3755,10218,67,0.036
Philippines,Asia,01/12/2010,93444322,200000000000,81591,40512,68.5,0.025
Cambodia,Asia,01/12/2010,14364931,11242266334,4180,5024,70.5,0.037
Pakistan,Asia,01/12/2010,173149306,177000000000,161396,84311,66,0.073
Kyrgyzstan,Asia,01/12/2010,5447900,4794357795,6399,2805,69.5,0.027
Laos,Asia,01/12/2010,6395713,7181441152,1874,,67,0.059
Tajikistan,Asia,01/12/2010,7627326,5642178580,2860,2370,67,0.045
Timor-Leste,Asia,01/12/2010,1066409,934300000,183,,66,0.052
Afghanistan,Asia,01/12/2010,28397812,15936784436,8236,,59.5,0.075
Japan,Asia,01/12/2011,127817277,5910000000000,,461468,82.5,0.002
South Korea,Asia,01/12/2011,49779440,1200000000000,,260440,81,0.003
Macao SAR,Asia,01/12/2011,546278,36634742799,,,80,
Singapore,Asia,01/12/2011,5183700,274000000000,,33447,82,0.002
Thailand,Asia,01/12/2011,66576332,346000000000,,119147,74,0.012
China,Asia,01/12/2011,1344130000,7320000000000,,2727728,75,0.013
North Korea,Asia,01/12/2011,24631291,,,19037,69.5,0.024
Georgia,Asia,01/12/2011,4483350,14434619972,,3543,74,0.014
Armenia,Asia,01/12/2011,2964120,10142342770,,2716,74.5,0.015
Hong Kong SAR,Asia,01/12/2011,7071600,249000000000,,14894,83.5,
Vietnam,Asia,01/12/2011,87840000,136000000000,,61210,75.5,0.02
Brunei,Asia,01/12/2011,406512,16691360399,,3832,78,0.008
Myanmar,Asia,01/12/2011,52350763,,,14056,65,0.042
Sri Lanka,Asia,01/12/2011,20869000,59178013928,,10421,74,0.009
Malaysia,Asia,01/12/2011,28758968,289000000000,,75907,74.5,0.007
Azerbaijan,Asia,01/12/2011,9173082,65951627200,,12561,71,0.032
Bhutan,Asia,01/12/2011,729429,1840841618,,,67.5,0.033
Indonesia,Asia,01/12/2011,243801639,846000000000,,209009,70,0.026
India,Asia,01/12/2011,1221156319,1880000000000,,749447,66,0.045
Bangladesh,Asia,01/12/2011,152862431,112000000000,,31294,70,0.037
Turkmenistan,Asia,01/12/2011,5106668,29233333333,,24710,65,0.05
Uzbekistan,Asia,01/12/2011,29339400,45324319955,,47755,68,0.039
Nepal,Asia,01/12/2011,27156367,18850351853,,10391,67.5,0.035
Maldives,Asia,01/12/2011,331964,2162990126,,,77,0.01
Mongolia,Asia,01/12/2011,2754209,8761426371,,3607,67,0.028
Kazakhstan,Asia,01/12/2011,16556600,188000000000,,78101,69,0.018
Philippines,Asia,01/12/2011,95053437,224000000000,,40452,68.5,0.025
Pakistan,Asia,01/12/2011,176166353,214000000000,,84845,66,0.072
Cambodia,Asia,01/12/2011,14605862,12829541141,,5333,71,0.036
Kyrgyzstan,Asia,01/12/2011,5514600,6197766119,,3097,70,0.025
Laos,Asia,01/12/2011,6521314,8254088067,,,67.5,0.057
Tajikistan,Asia,01/12/2011,7814850,6522732203,,2395,67.5,0.043
Timor-Leste,Asia,01/12/2011,1120392,1128300000,,,66.5,0.05
Afghanistan,Asia,01/12/2011,29105480,17870159082,,,60,0.074
Japan,Asia,01/12/2012,127561489,5940000000000,,451501,83,0.002
Thailand,Asia,01/12/2012,66785001,366000000000,,,74.5,0.012
Macao SAR,Asia,01/12/2012,556783,42981497744,,,80,
South Korea,Asia,01/12/2012,50004441,1220000000000,,263002,81.5,0.003
Singapore,Asia,01/12/2012,5312400,287000000000,,,82.5,0.002
China,Asia,01/12/2012,1350695000,8230000000000,,,75.5,0.012
Hong Kong SAR,Asia,01/12/2012,7154600,263000000000,,,83.5,
North Korea,Asia,01/12/2012,24763188,,,,69.5,0.023
Georgia,Asia,01/12/2012,4490700,15846484588,,,74,0.013
Armenia,Asia,01/12/2012,2969081,9958217880,,,74.5,0.015
Vietnam,Asia,01/12/2012,88772900,156000000000,,,75.5,0.02
Brunei,Asia,01/12/2012,412238,16953952625,,,78.5,0.008
Myanmar,Asia,01/12/2012,52797319,,,,65,0.041
Sri Lanka,Asia,01/12/2012,20328000,59393056426,,,74,0.009
Malaysia,Asia,01/12/2012,29239927,305000000000,,,75,0.007
Azerbaijan,Asia,01/12/2012,9295784,68730906314,,,71,0.031
Indonesia,Asia,01/12/2012,246864191,877000000000,,,71,0.025
Bhutan,Asia,01/12/2012,741822,1861157558,,,68,0.031
Bangladesh,Asia,01/12/2012,154695368,116000000000,,,70.5,0.035
India,Asia,01/12/2012,1236686732,1860000000000,,,66.5,0.043
Uzbekistan,Asia,01/12/2012,29774500,51183443225,,,68.5,0.038
Turkmenistan,Asia,01/12/2012,5172931,35164210526,,,65.5,0.048
Nepal,Asia,01/12/2012,27474377,19206800719,,,68,0.033
Maldives,Asia,01/12/2012,338442,2113179304,,,78,0.009
Mongolia,Asia,01/12/2012,2796484,10321968595,,,67,0.027
Kazakhstan,Asia,01/12/2012,16791425,204000000000,,,69.5,0.016
Philippines,Asia,01/12/2012,96706764,250000000000,,,68.5,0.024
Pakistan,Asia,01/12/2012,179160111,225000000000,,,66.5,0.071
Cambodia,Asia,01/12/2012,14864646,14054443213,,,71.5,0.034
Laos,Asia,01/12/2012,6645827,9386913253,,,67.5,0.055
Kyrgyzstan,Asia,01/12/2012,5607200,6605133551,,,70,0.023
Tajikistan,Asia,01/12/2012,8008990,7633049792,,,67.5,0.042
Afghanistan,Asia,01/12/2012,29824536,20506795254,,,60.5,0.072
Timor-Leste,Asia,01/12/2012,1148958,1355000000,,,67.5,0.048
Monaco,Europe,01/12/2005,33808,4280072626,,,,0.004
Faeroe Islands,Europe,01/12/2005,49157,1730894295,766,,79.5,
Bosnia and Herzegovina,Europe,01/12/2005,3879828,10948051122,25618,5042,75.5,0.007
Germany,Europe,01/12/2005,82469422,2770000000000,806703,335185,79,0.004
Ukraine,Europe,01/12/2005,47105150,86142018069,333869,142883,68,0.013
Belarus,Europe,01/12/2005,9663000,30210091837,59064,26874,69,0.007
Lithuania,Europe,01/12/2005,3322528,26085307222,13993,8848,71,0.008
Bulgaria,Europe,01/12/2005,7739900,28895083540,47909,19898,72.5,0.014
Slovenia,Europe,01/12/2005,2000474,35717733757,15867,7293,77.5,0.004
Russia,Europe,01/12/2005,143113885,764000000000,1615688,651712,65.5,0.014
Latvia,Europe,01/12/2005,2238799,16041840426,7176,4528,71.5,0.011
Romania,Europe,01/12/2005,21319685,99172613716,95676,38693,72,0.018
Hungary,Europe,01/12/2005,10087065,110000000000,57917,27583,73,0.007
Serbia,Europe,01/12/2005,7440769,25234408773,,16051,72.5,0.008
Slovakia,Europe,01/12/2005,5372807,61328471583,39175,18830,74,0.008
Poland,Europe,01/12/2005,38165445,304000000000,303598,92377,75,0.007
Croatia,Europe,01/12/2005,4442000,44821408831,23106,8905,75.5,0.006
Czech Republic,Europe,01/12/2005,10211216,130000000000,120736,44941,76,0.004
Portugal,Europe,01/12/2005,10503330,192000000000,65309,26467,78,0.004
Malta,Europe,01/12/2005,403834,5980795756,2699,881,79,0.006
Austria,Europe,01/12/2005,8227829,305000000000,74238,33792,79.5,0.004
Greece,Europe,01/12/2005,11092913,240000000000,98675,30248,79.5,0.005
Italy,Europe,01/12/2005,57969484,1790000000000,473380,183873,81,0.004
Switzerland,Europe,01/12/2005,7437115,385000000000,41375,25941,81.5,0.004
San Marino,Europe,01/12/2005,29775,1375416604,,,82,0.004
Isle of Man,Europe,01/12/2005,80345,2915710378,,,,
